X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0005,0.0005,0,6.458646333
0.0005,0.0005,0.003,1.635923395
0.0005,0.0015,0,6.432885084
0.0005,0.0015,0.003,1.677565768
0.0005,0.0025,0,6.407123834
0.0005,0.0025,0.003,1.719208141
0.0005,0.0035,0,6.381362585
0.0005,0.0035,0.003,1.760850514
0.0005,0.0045,0,6.342431582
0.0005,0.0045,0.003,1.798630265
0.0005,0.0055,0,6.293922069
0.0005,0.0055,0.003,1.833600686
0.0005,0.0065,0,6.245412555
0.0005,0.0065,0.003,1.868571108
0.0005,0.0075,0,6.196903042
0.0005,0.0075,0.003,1.903541529
0.0005,0.0085,0,6.130700932
0.0005,0.0085,0.003,1.893591009
0.0005,0.0095,0,6.055341116
0.0005,0.0095,0.003,1.860389364
0.0005,0.0105,0,5.9799813
0.0005,0.0105,0.003,1.827187719
0.0005,0.0115,0,5.904621484
0.0005,0.0115,0.003,1.793986074
0.0005,0.0125,0,5.801121261
0.0005,0.0125,0.003,1.775945797
0.0005,0.0135,0,5.687679046
0.0005,0.0135,0.003,1.763262024
0.0005,0.0145,0,5.574236831
0.0005,0.0145,0.003,1.75057825
0.0005,0.0155,0,5.460794616
0.0005,0.0155,0.003,1.737894476
0.0005,0.0165,0,5.345725489
0.0005,0.0165,0.003,1.793066688
0.0005,0.0175,0,5.230296655
0.0005,0.0175,0.003,1.86324176
0.0005,0.0185,0,5.114867821
0.0005,0.0185,0.003,1.933416832
0.0005,0.0195,0,4.999438986
0.0005,0.0195,0.003,2.003591904
0.0005,0.0205,0,4.925086985
0.0005,0.0205,0.003,2.093105544
0.0005,0.0215,0,4.855353163
0.0005,0.0215,0.003,2.184793377
0.0005,0.0225,0,4.78561934
0.0005,0.0225,0.003,2.276481211
0.0005,0.0235,0,4.715885518
0.0005,0.0235,0.003,2.368169044
0.0005,0.0245,0,4.67021906
0.0005,0.0245,0.003,2.367285875
0.0005,0.0255,0,4.625070498
0.0005,0.0255,0.003,2.364410709
0.0005,0.0265,0,4.579921935
0.0005,0.0265,0.003,2.361535544
0.0005,0.0275,0,4.532534112
0.0005,0.0275,0.003,2.352188691
0.0005,0.0285,0,4.449389938
0.0005,0.0285,0.003,2.239502405
0.0005,0.0295,0,4.366245764
0.0005,0.0295,0.003,2.126816119
0.0005,0.0305,0,4.283101591
0.0005,0.0305,0.003,2.014129834
0.0005,0.0315,0,4.198116445
0.0005,0.0315,0.003,1.900610471
0.0005,0.0325,0,4.101721646
0.0005,0.0325,0.003,1.78192801
0.0005,0.0335,0,4.005326848
0.0005,0.0335,0.003,1.663245549
0.0005,0.0345,0,3.908932049
0.0005,0.0345,0.003,1.544563088
0.0005,0.0355,0,3.8073293
0.0005,0.0355,0.003,1.445955816
0.0005,0.0365,0,3.687146816
0.0005,0.0365,0.003,1.418968214
0.0005,0.0375,0,3.566964332
0.0005,0.0375,0.003,1.391980612
0.0005,0.0385,0,3.446781848
0.0005,0.0385,0.003,1.36499301
0.0005,0.0395,0,3.317352908
0.0005,0.0395,0.003,1.357215009
0.0005,0.0405,0,3.166239071
0.0005,0.0405,0.003,1.394487595
0.0005,0.0415,0,3.015125234
0.0005,0.0415,0.003,1.431760181
0.0005,0.0425,0,2.864011396
0.0005,0.0425,0.003,1.469032766
0.0005,0.0435,0,2.722889735
0.0005,0.0435,0.003,1.494757611
0.0005,0.0445,0,2.598145019
0.0005,0.0445,0.003,1.501555973
0.0005,0.0455,0,2.473400303
0.0005,0.0455,0.003,1.508354335
0.0005,0.0465,0,2.348655588
0.0005,0.0465,0.003,1.515152697
0.0005,0.0475,0,2.251464163
0.0005,0.0475,0.003,1.505544256
0.0005,0.0485,0,2.186756941
0.0005,0.0485,0.003,1.476592863
0.0005,0.0495,0,2.122049719
0.0005,0.0495,0.003,1.44764147
0.0005,0.0505,0,2.057342497
0.0005,0.0505,0.003,1.418690077
0.0005,0.0515,0,2.03709063
0.0005,0.0515,0.003,1.411245766
0.0005,0.0525,0,2.054870865
0.0005,0.0525,0.003,1.422201026
0.0005,0.0535,0,2.0726511
0.0005,0.0535,0.003,1.433156286
0.0005,0.0545,0,2.090431336
0.0005,0.0545,0.003,1.444111547
0.0005,0.0555,0,2.143938072
0.0005,0.0555,0.003,1.511253993
0.0005,0.0565,0,2.219440874
0.0005,0.0565,0.003,1.612989725
0.0005,0.0575,0,2.294943677
0.0005,0.0575,0.003,1.714725456
0.0005,0.0585,0,2.370446479
0.0005,0.0585,0.003,1.816461188
0.0005,0.0595,0,2.451543254
0.0005,0.0595,0.003,1.960459763
0.0005,0.0605,0,2.535049626
0.0005,0.0605,0.003,2.122663006
0.0005,0.0615,0,2.618555998
0.0005,0.0615,0.003,2.284866249
0.0005,0.0625,0,2.702062369
0.0005,0.0625,0.003,2.447069492
0.0005,0.0635,0,2.775656915
0.0005,0.0635,0.003,2.568039076
0.0005,0.0645,0,2.84643844
0.0005,0.0645,0.003,2.677306357
0.0005,0.0655,0,2.917219964
0.0005,0.0655,0.003,2.786573639
0.0005,0.0665,0,2.988001488
0.0005,0.0665,0.003,2.89584092
0.0005,0.0675,0,3.044598085
0.0005,0.0675,0.003,2.897755244
0.0005,0.0685,0,3.098865051
0.0005,0.0685,0.003,2.882038688
0.0005,0.0695,0,3.153132018
0.0005,0.0695,0.003,2.866322133
0.0005,0.0705,0,3.207398984
0.0005,0.0705,0.003,2.850605577
0.0005,0.0715,0,3.262466894
0.0005,0.0715,0.003,2.759141644
0.0005,0.0725,0,3.317586894
0.0005,0.0725,0.003,2.662751347
0.0005,0.0735,0,3.372706894
0.0005,0.0735,0.003,2.566361049
0.0005,0.0745,0,3.427918095
0.0005,0.0745,0.003,2.47005743
0.0005,0.0755,0,3.48785465
0.0005,0.0755,0.003,2.378244857
0.0005,0.0765,0,3.547791205
0.0005,0.0765,0.003,2.286432284
0.0005,0.0775,0,3.607727761
0.0005,0.0775,0.003,2.194619711
